Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Prev Close,Prev High,Prev Low,Rolling_Mean_7,Rolling_Std_7,Daily Return,Volatility,7-day MA,30-day MA
2023-08-16,-1.399842873278711,-1.3703114162310164,-1.3809679002647854,-1.336592026897373,-0.7507798519144534,-0.7369464869251648,-1.3453582171021365,-1.3701898722357606,-1.4073742971752563,-1.2802765294485878,-0.9632163480325787,,,,
2023-08-17,-1.3497728926283323,-1.3832073751860947,-1.3753400242142835,-1.3977987725791194,-0.3612283283292173,-0.2821062953975422,-1.326641198693869,-1.359896126517271,-1.3704415960801657,-1.300888451999993,-0.832587098690922,-0.7308995393061738,,,
2023-08-18,-1.441132955421421,-1.4365856958610042,-1.4205184988075443,-1.4316082130509402,-0.4772618291851436,-0.3603958532588072,-1.38795556934164,-1.3728089909688668,-1.3648051551879135,-1.3240452208392566,-0.677734923500661,-0.45672452819131026,,,
2023-08-21,-1.4295287538972978,-1.4048628534314131,-1.3939648736852837,-1.3804031711748344,-0.417519342165684,-0.8045167962192221,-1.4218244597946936,-1.4262572860456344,-1.4100523851130136,-1.3452700383081544,-1.0478090271745346,0.40537897426149294,,,
2023-08-22,-1.370310487389279,-1.3941871892964317,-1.341106369343548,-1.3786544070124975,-0.9168719186197105,-0.8509221833866643,-1.3705293797891167,-1.394492857689469,-1.3834583490799541,-1.3582962759386803,-1.3094003661659497,-0.09678516894723815,,,
2023-08-23,-1.3567415533319709,-1.3768202257036268,-1.350247781270884,-1.3494776575672143,-0.7638671317791228,-0.8562958487716618,-1.3687775406277505,-1.383803198674116,-1.3305194014731625,-1.3569017179380036,-1.2891750862475957,0.1804264526744418,,,
2023-08-24,-1.29783027628226,-1.308447311243685,-1.3487553058541752,-1.3846370212520667,-0.3649962803055718,-0.4784470926345182,-1.3395494872512947,-1.3664134684810485,-1.3396747253533963,-1.3611520109528044,-1.311059010137948,-0.4689486227831802,,-1.4092509883493618,
2023-08-25,-1.443803763708718,-1.4574199691728635,-1.4353810664989253,-1.4588214378227256,1.4723002951999922,-0.4186700475527223,-1.3747706746008408,-1.2979509229924013,-1.3381799785974389,-1.378846020744831,-1.211872431451499,-0.8646203197898997,,-1.4271288000670075,
2023-08-28,-1.4432204837379305,-1.4408133805184475,-1.4229437713596933,-1.434123979038863,-0.5510608083196112,-1.0311247727959716,-1.4490855358671626,-1.4471188713035181,-1.4249375715577453,-1.3841044814862369,-1.1654382366706404,0.13684709517848767,,-1.4324418846738582,
2023-08-29,-1.3962510966164836,-1.434091666063087,-1.3860050047961758,-1.4116661655857097,-0.0023652300263332124,-0.6448676616177719,-1.4243446494654304,-1.430490512835191,-1.4124813485914414,-1.3812176575994846,-1.1977660147882105,0.11358110215055721,,-1.429525073023137,
2023-08-30,-1.3602719321025372,-1.388529999754818,-1.37005417378011,-1.4087208785754606,-0.6916807849735244,-0.882536402582724,-1.401847346551059,-1.4237599867884851,-1.37548636638152,-1.3853169475186706,-1.2143237033745242,-0.08461173143218424,,-1.433666945567159,
2023-08-31,-1.395821311374849,-1.4278261765707618,-1.4391433482785423,-1.466184655348349,2.36229784147114,1.4566250312452351,-1.3988968805950766,-1.3781385930420487,-1.3595112604272344,-1.3979878837477508,-1.1295325835256744,-0.6967189099022703,,-1.446469505012552,
2023-09-01,-1.4679024361860618,-1.3850322750382282,-1.4192125828179236,-1.354815990273292,0.6010497179067504,-0.3313199028437254,-1.45646170075712,-1.4174862837766256,-1.4287055790050518,-1.3987606642958967,-1.1552555127295256,1.0194783590685814,,-1.4472503130544372,
2023-09-04,-1.3040314633401258,-1.3323534993066355,-1.3090492411221781,-1.2974442537194746,0.8194640203782735,-0.43455279792277623,-1.3448972067965141,-1.3746362831082435,-1.4087444817015502,-1.3861385820095191,-0.7868796214600443,0.46423365128782473,,-1.4344971150369832,
